date,Stock Name,negative,neutral,positive,sent_index,sent_roll5,next_ret
2022-03-01,MSFT,0,1,1,0.9090909090909092,0.3561771561771562,0.01776193385354463
2022-03-02,MSFT,3,2,0,-0.9375,0.1686771561771561,-0.014222131273341043
2022-03-03,MSFT,2,4,2,0.0,0.0148310023310023,-0.020478488764336666
2022-03-04,MSFT,2,11,0,-0.6451612903225806,-0.2680474095796676,-0.03776897102247834
2022-03-07,MSFT,3,9,1,-0.4081632653061224,-0.3439982444590739,-0.010979249182337725
2022-03-08,MSFT,2,9,1,-0.2564102564102564,-0.3952802957411252,0.045863149143382964
2022-03-09,MSFT,3,52,9,0.3488372093023256,-0.1964805958161439,-0.010089109227116588
2022-03-10,MSFT,2,25,3,0.1333333333333333,-0.036480595816144,-0.0193334910699563
2022-03-11,MSFT,0,13,0,0.0,-0.036480595816144,-0.012951786308320501
2022-03-14,MSFT,0,4,0,0.0,-0.2605128205128205,0.038739305951631664
2022-03-15,MSFT,0,3,2,0.8695652173913044,-0.1132664437012263,0.025207687096659104
2022-03-16,MSFT,1,7,1,0.0,-0.1132664437012263,0.0028239549280097975
2022-03-17,MSFT,0,10,0,0.0,0.020066889632107,0.017648568416380073
2022-03-18,MSFT,0,9,0,0.0,0.1739130434782608,-0.004229129535409104
2022-03-21,MSFT,0,1,2,0.9523809523809524,0.2904761904761904,0.016379192334017745
2022-03-22,MSFT,0,9,0,0.0,0.2904761904761904,-0.015031011562834595
2022-03-23,MSFT,0,3,0,0.0,0.2904761904761904,0.015393713977068346
2022-03-24,MSFT,0,3,0,0.0,0.1904761904761904,-0.0013870886289032436
2022-03-25,MSFT,0,10,0,0.0,0.1904761904761904,0.023124407898507338
2022-03-28,MSFT,0,6,1,0.625,-0.035,0.015161201033373706
2022-03-29,MSFT,0,15,1,0.4,0.0449999999999999,-0.004914419634307277
2022-03-30,MSFT,0,2,0,0.0,0.0449999999999999,-0.01768990634755463
2022-03-31,MSFT,0,10,0,0.0,0.205,0.0036063439774718375
2022-04-01,MSFT,2,10,1,-0.25,0.1549999999999999,0.017933836716056417
2022-04-04,MSFT,0,6,2,0.7692307692307692,-0.2294871794871795,-0.012985873190266672
2022-04-05,MSFT,1,8,2,0.2631578947368421,-0.1768556005398111,-0.036605005154011105
2022-04-06,MSFT,3,9,0,-0.7692307692307693,-0.280701754385965,0.006245470580996226
2022-04-07,MSFT,0,4,0,0.0,-0.1140350877192983,-0.01460121824031202
2022-04-08,MSFT,1,8,0,-0.5555555555555556,-0.0584795321637427,-0.03943308476492868
2022-04-11,MSFT,0,6,2,0.7692307692307692,-0.2505982905982906,-0.011212283264482759
2022-04-12,MSFT,3,3,2,-0.1886792452830188,-0.2883341396548944,0.019716949970780107
2022-04-13,MSFT,2,11,5,0.3703703703703704,-0.1031489544697092,-0.027088502158892913
2022-04-14,MSFT,0,11,1,0.4761904761904761,0.152089140768386,0.00245864752433933
2022-04-18,MSFT,0,9,0,0.0,0.1821946169772256,0.017040581328719995
2022-04-19,MSFT,0,7,0,0.0,0.0869565217391304,0.0037213541853573506
2022-04-20,MSFT,3,17,2,-0.1492537313432835,-0.0298507462686567,-0.0193886999953522
2022-04-21,MSFT,1,11,2,0.2439024390243902,0.0189297415362212,-0.02414356341787105
2022-04-22,MSFT,2,13,1,-0.2325581395348837,-0.0275818863707554,0.02442332264789604
2022-04-25,MSFT,5,14,1,-0.5405405405405405,0.0679412395946712,-0.03741187712215199
2022-04-26,MSFT,5,6,3,-0.2325581395348837,-0.0273508761171835,0.04811069475965479
2022-04-27,MSFT,6,7,0,-0.8955223880597015,-0.1599437258221471,0.022636653158901288
2022-04-28,MSFT,41,62,10,-0.541958041958042,-0.3171158220186336,-0.04181086135040446
2022-04-29,MSFT,37,37,7,-0.6289308176100629,-0.5679019855406462,0.025038274952501993
2022-05-02,MSFT,9,10,2,-0.5833333333333334,-0.6127987005345497,-0.009454673711184247
2022-05-03,MSFT,2,9,2,0.0,-0.5044070921429412,0.0290998274139338
2022-05-04,MSFT,2,10,4,0.2857142857142857,-0.3214780714780715,-0.043550562432476236
2022-05-05,MSFT,5,6,2,-0.3947368421052631,-0.292317331791016,-0.009453707839452985
2022-05-06,MSFT,4,11,0,-0.7843137254901962,-0.2953339230429014,-0.036942214669558604
2022-05-09,MSFT,5,13,1,-0.547945205479452,-0.5798489153805326,0.018593402341104737
2022-05-10,MSFT,1,10,0,-0.5,-0.6009015469594801,-0.03320670136382631
2022-05-11,MSFT,8,15,5,-0.2068965517241379,-0.4854181122062682,-0.01995764060529137
2022-05-12,MSFT,6,14,0,-0.8108108108108107,-0.594948695421062,0.022585301311094153
2022-05-13,MSFT,2,9,2,0.0,-0.4131305136028801,0.0014624984806483887
2022-05-16,MSFT,0,8,0,0.0,0.1235521235521235,0.02033936793309743
2022-05-17,MSFT,2,7,2,0.0,0.2857142857142857,-0.04552762546477307
2022-05-18,MSFT,7,11,1,-0.6593406593406593,0.1538461538461538,-0.0036985519365135833
2022-05-19,MSFT,8,7,0,-0.9195402298850576,-0.1729190349880005,-0.0022919306287475516
2022-05-20,MSFT,4,6,1,-0.5357142857142857,-0.4229190349880006,0.032035363870936306
2022-05-23,MSFT,6,6,0,-0.9090909090909092,-0.8031858270194985,-0.003950168313223257
2022-05-24,MSFT,5,11,1,-0.5633802816901409,-0.7319538373805152,0.01117357999142321
2022-05-25,MSFT,1,8,1,0.0,-0.624810980237658,0.012874935314052482
2022-05-26,MSFT,1,11,0,-0.4761904761904761,-0.5662029216295994,0.027604486785494764
